"","Age","lx_lost_none","Lx_lost_none","dx_lost_none_to_lost_dad","dx_lost_none_to_lost_mom","dx_lost_none_to_lost_both","dx_lost_none_to_dead","ex_lost_none","lx_lost_dad","Lx_lost_dad","dx_lost_dad_to_lost_both","dx_lost_dad_to_dead","ex_lost_dad","lx_lost_mom","Lx_lost_mom","dx_lost_mom_to_lost_both","dx_lost_mom_to_dead","ex_lost_mom","lx_lost_both","Lx_lost_both","dx_lost_both_to_dead","ex_lost_both"
"1","[0,5)",1e+05,494672.930742773,952.220231556624,391.737279614618,56.9985237509662,567.661991922874,43.1636365453953,0,1864.04401570048,3.12539818747714,2.13908397493187,11.271605377522,0,720.520935464947,8.63659863434062,0.82683390181471,3.60848868045375,0,159.004306061446,0.182465414001175,21.8385021261212
"2","[5,10)",98031.3819731549,486269.65533509,1191.86963715984,527.011119590266,1.96880001726508,47.4904206355366,38.4363034598179,946.955749394215,7370.87524726208,30.2042806561202,0.719859777602867,11.3175661353767,382.273847078463,2888.52041168612,26.036298692287,0.282100780627115,3.621957775863,68.5780551587828,488.706818461509,0.0477284406327978,21.9622737712283
"3","[10,15)",96263.041995752,476046.707764786,1656.72409990287,624.687232916022,27.5278411704776,60.6612722102772,33.5620753003597,2107.90124612034,14322.5149363579,32.6459409687809,1.82507716809892,11.2489257031772,882.966567195815,5613.79361322638,37.0733871227519,0.715349685124808,3.59466157880422,126.739706083822,785.874310630009,0.100141718664601,21.9680829637065
"4","[15,20)",93893.4415495524,461493.734752047,2172.818926263,884.970240585067,32.0169141167747,149.425950310125,28.7902777388646,3730.15432788633,24018.5038433046,73.2621294572984,7.77689379410859,11.1118852786442,1469.86506330396,9010.32799672382,171.200126178354,2.9174325069435,3.54042873569903,223.886733627168,1709.25372042462,0.553435165556023,21.9741708892667
"5","[20,25)",90654.2095182774,440491.933738473,2915.77782016075,1204.12147337944,70.6228224618135,249.905817967073,24.1827423485161,5821.93423089792,37085.4048703057,195.384354416138,21.0397914897036,10.8876630203039,2180.71774520373,13922.6353493575,230.283855002304,7.89877704617449,3.4552959939114,499.812468214039,3629.1354168628,2.0589299948517,21.9925395698252
"6","[25,30)",86213.7815843083,414046.442860671,3298.6732476489,1533.80409394234,79.602841125661,332.980064668583,19.7964406733491,8521.28790515283,52623.9234555424,420.006608767555,42.320656867079,10.5435233915585,3146.6565865347,19537.3486428466,290.37431445036,15.7121205283168,3.3243028738931,994.044570099443,7229.87879094068,5.8143368910998,22.0183146823084
"7","[30,35)",80968.7213369228,379354.529003047,4369.04553736788,1995.16025280717,117.625296942457,421.400660242413,15.6717953989104,11357.6338871671,71744.0576901267,828.332381879955,79.6958806806451,10.0516413194439,4374.37424549835,26177.2708009459,716.234898505055,29.0786542811366,3.13930705225901,1778.21399755192,13819.0096933809,15.3506531844787,22.033621866585
"8","[35,40)",74065.4895895629,336681.239657487,5538.49862416984,2230.76124053483,167.142683315584,495.626473938869,11.8854975093383,14818.6511619744,93924.7541230115,1353.08447431157,138.266078469122,9.37505272855355,5624.22094551933,32362.6166665512,1023.00811450923,47.6408177723108,2.8894975500163,3425.05592169491,24977.1551779505,36.7687233255567,22.0152506906664
"9","[40,45)",65633.4605676038,282611.629852491,6289.37573447968,3314.30773331887,302.212122401349,554.136412160273,8.51005795359001,18865.7992333635,116030.272732135,2631.06391927383,227.508680613472,8.47816969940829,6784.33325377261,40017.5499251918,1620.11680436902,78.4652123147399,2.57795063626256,5931.52247050574,45163.4146776824,88.5550696673743,21.9209907086158
"10","[45,50)",55173.4285652436,220401.225481267,7056.32807006332,3039.37503236492,274.440673473156,616.805201135582,5.65819868226947,22296.6023679559,136311.299850457,3847.77036597252,381.474824097382,7.3564153600104,8400.05897040773,46761.7263598157,2603.36190263532,130.865316060889,2.18765962174436,10396.3602468826,74705.935808461,209.068754775486,21.667862522687
"11","[50,55)",44186.4795882066,152873.697085531,7629.02147269777,3190.80885005331,563.790990428969,634.06766269954,3.41619667457603,25123.6852479493,147176.33962083,7278.99563991901,610.436978022728,6.0241792391643,8705.20678407644,46642.2294242193,3686.8712636604,193.455970241656,1.72589856419349,16912.8644341881,123389.671369422,511.778036497023,21.1863435052752
"12","[55,60)",32168.790612327,91789.2671218453,6488.03601536689,3040.34004568317,542.116973579129,574.558352760976,1.84365063591886,24863.2741027054,142290.922050876,9023.69592697154,890.675351812834,4.56759793532627,8015.68840022769,41290.3646259106,4064.07282808349,258.458582667092,1.26044503331887,27930.7442916994,182775.89151387,1144.09253331575,20.3035383237659
"13","[60,65)",21523.7392249369,41714.6539240874,4152.1404641988,1940.02603505766,581.007096999001,385.235300663026,0.883697761342653,21436.9388392879,110003.298463518,11524.5778669958,1015.88170513499,3.1338952322542,6733.49703516029,32520.479881824,4313.81853843666,300.326999422768,0.842340895777961,40416.5374870178,256624.200543071,2369.927393705,18.9213543204451
"14","65+",14465.3303280184,37916.0072199312,4291.93664527077,2146.5535896595,1144.34501178849,1916.62921539964,0.440682079138301,13048.6197313559,172394.326852775,25841.4701216055,8714.41978314357,2.00366800091739,4059.37753235851,43383.4834116116,8448.86025172541,2193.00653916932,0.504228294904457,54466.0135957443,1448393.0804649,73215.3171429514,16.834074073424
